Horizon,Expected_Price_Mean,Operational_VaR_68,Trading_VaR_95,Black_Swan_VaR_99
1-Day,4360.717788662942,-69285.84714987497,-256566.3951244066,-367824.8480625069
1-Week (5d),4376.96634219489,-128980.33645214471,-543520.545009009,-784603.1135669941
1-Month (21d),4435.902741659483,-198491.00230210417,-1009515.4557623502,-1425333.111622838
